Date,week,Forward/Back,Position Specific,Name,dist_total,msr_total,hsr_total,percentVmax
2017-10-02,Wk 14,Forwards,Tighthead Prop,1202a,1231.59595,120.32,93.53999999999999,0.8765217391304349
2017-10-05,Wk 14,Forwards,Tighthead Prop,1202a,3266.37084,507.95,0,0.6790635451505016
2017-10-07,Wk 14,Forwards,Tighthead Prop,1202a,2169.35302,283.53999,7.46,0.7380602006688963
2017-10-09,Wk 15,Forwards,Tighthead Prop,1202a,4872.12511,1179.32001,86.30000000000001,0.8692976588628762
2017-10-10,Wk 15,Forwards,Tighthead Prop,1202a,3617.3452500000003,546.26,0,0.5779264214046823
2017-10-12,Wk 15,Forwards,Tighthead Prop,1202a,3051.66895,618.68,0,0.6682274247491639
2017-10-14,Wk 15,Forwards,Tighthead Prop,1202a,4650.58886,602.9399800000001,51.22,0.7585284280936455
2017-10-16,Wk 16,Forwards,Tighthead Prop,1202a,1657.1991,187.61,123.66,0.8500334448160535
2017-10-17,Wk 16,Forwards,Tighthead Prop,1202a,3692.67054,629.1,10.99,0.7464882943143814
2017-10-19,Wk 16,Forwards,Tighthead Prop,1202a,2603.80272,355.8,0,0.6959197324414717
2017-10-21,Wk 16,Forwards,Tighthead Prop,1202a,3721.83069,551.22,0,0.6874916387959866
2017-10-24,Wk 17,Forwards,Tighthead Prop,1202a,3993.22751,774.67,0,0.6971237458193981
2017-10-26,Wk 17,Forwards,Tighthead Prop,1202a,2902.61334,426.92,5.44,0.7681605351170568
2017-10-28,Wk 17,Forwards,Tighthead Prop,1202a,4829.42676,1105.25003,6.02,0.7296321070234113
2017-10-31,Wk 18,Forwards,Tighthead Prop,1202a,4156.18403,665.8299999999999,3.31,0.7464882943143814
2017-11-03,Wk 18,Forwards,Tighthead Prop,1202a,4597.33399,654.05999,4.67,0.7272240802675586
2017-11-06,Wk 19,Forwards,Tighthead Prop,1202a,6881.03045,2968.73998,258.88,0.7741806020066889
2017-11-07,Wk 19,Forwards,Tighthead Prop,1202a,4802.28082,1187.33,42.5,0.7260200668896322
2017-11-09,Wk 19,Forwards,Tighthead Prop,1202a,3109.62297,487.6,57.72,0.8343812709030101
2017-11-10,Wk 19,Forwards,Tighthead Prop,1202a,2433.50926,389.22,12.48,0.7681605351170568
2017-11-12,Wk 19,Forwards,Tighthead Prop,1202a,3692.88037,677.83,27.52,0.7597324414715719
2017-11-13,Wk 20,Forwards,Tighthead Prop,1202a,2405.3399,362.06,0,0.6441471571906354
2017-11-14,Wk 20,Forwards,Tighthead Prop,1202a,2961.46213,466.61,4.51,0.728428093645485
2017-11-16,Wk 20,Forwards,Tighthead Prop,1202a,3672.5917600000002,778.22,49.21,0.8957859531772576
2017-11-18,Wk 20,Forwards,Tighthead Prop,1202a,1320.67035,322.86,15.44,0.8536454849498328
2017-11-20,Wk 21,Forwards,Tighthead Prop,1202a,2917.0634,612.53,6.34,0.7272240802675586
2017-11-23,Wk 21,Forwards,Tighthead Prop,1202a,5038.77345,929.05,81.02000000000001,0.8560535117056857
2017-11-25,Wk 21,Forwards,Tighthead Prop,1202a,15.68437,0,0,0.12040133779264214
2017-11-27,Wk 22,Forwards,Tighthead Prop,1202a,4258.66497,781.45,61.3,0.9066220735785954
2017-11-28,Wk 22,Forwards,Tighthead Prop,1202a,3951.13061,895.24001,9.25,0.7573244147157191
2017-11-30,Wk 22,Forwards,Tighthead Prop,1202a,1808.32724,543.2599999999999,43.14,0.7814046822742475
2017-12-01,Wk 22,Forwards,Tighthead Prop,1202a,1142.30758,468.64,65.12,0.811505016722408
2017-12-04,Wk 23,Forwards,Tighthead Prop,1202a,5346.299849999999,1435.88001,14.2,0.7549163879598662
2017-12-05,Wk 23,Forwards,Tighthead Prop,1202a,3630.77882,752.11,121.37,0.828361204013378
